# source<TAB>English<TAB>Japanese<TAB>Korean
截止/续费日（手动）：	Expiry/renewal (manual): 	期限・更新日（手動）: 	만료/갱신일 (수동):
已逾期	Overdue	期限超過	기한 경과
天	days	日	일
上次额度已过期，等待刷新	Previous quota expired; waiting for refresh	前回の使用量は期限切れ・更新待ち	이전 한도 정보 만료; 갱신 대기 중
费用为API估算，非账单；汇率日期：	API estimate, not a bill; FX date: 	API推定・請求額ではありません。為替: 	API 추정액이며 청구액 아님; 환율 날짜:
System diagnosis & Codex / ChatGPT impact	系统诊断与Codex影响	System diagnosis & Codex / ChatGPT impact	システム診断・Codexの影響	시스템 진단 및 Codex 영향
Codex / ChatGPT process tree	Codex / ChatGPT进程树	Codex / ChatGPT process tree	Codex / ChatGPTプロセスツリー	Codex / ChatGPT 프로세스 트리
System CPU & physical memory	系统CPU与物理内存	System CPU & physical memory	システムCPUと物理メモリ	시스템 CPU 및 물리 메모리
10-minute system CPU trend	系统CPU十分钟趋势	10-minute system CPU trend	CPUの10分間の傾向	시스템 CPU 10분 추세
Network & disk live throughput	网络与磁盘速度	Network & disk live throughput	ネットワーク・ディスク速度	네트워크 및 디스크 속도
Commit & page file	提交内存与分页文件	Commit & page file	コミットとページファイル	커밋 및 페이지 파일
Top processes by CPU & memory	CPU与内存高占用进程	Top processes by CPU & memory	CPU・メモリ上位プロセス	CPU 및 메모리 상위 프로세스
Codex 5-hour quota	Codex五小时额度	Codex 5-hour quota	Codex 5時間使用量	Codex 5시간 한도
Codex weekly quota	Codex每周额度	Codex weekly quota	Codex週間使用量	Codex 주간 한도
Codex quota trend forecast	Codex额度趋势预测	Codex quota trend forecast	Codex使用量予測	Codex 한도 추세 예측
Codex subscription type	Codex订阅套餐	Codex subscription type	Codex契約プラン	Codex 구독 요금제
Codex account Token usage	Codex账户Token用量	Codex account Token usage	CodexアカウントToken使用量	Codex 계정 Token 사용량
Codex Token usage & API-equivalent cost (Beta)	Codex Token与API估算	Codex Token usage & API estimate	Codex Token・API推定	Codex Token 및 API 추정
Codex current task activity (local estimate)	Codex当前任务活动（本机推测）	Codex current task activity (local estimate)	Codexタスク活動（ローカル推定）	Codex 현재 작업 활동 (로컬 추정)
Codex recent tasks (history)	Codex最近任务（历史）	Codex recent tasks (history)	Codex最近のタスク（履歴）	Codex 최근 작업 (기록)
OpenAI official service status	OpenAI官方服务状态	OpenAI official service status	OpenAI公式稼働状況	OpenAI 공식 서비스 상태
Home	主页	Home	ホーム	홈
Computer	电脑	Computer	コンピューター	컴퓨터
Settings	设置	Settings	設定	설정
Minimize	最小化	Minimize	最小化	최소화
Close	关闭	Close	閉じる	닫기
Up	上移	Up	上へ	위로
Down	下移	Down	下へ	아래로
Pin on top	置顶	Pin on top	最前面	항상 위에
Unpin	取消置顶	Unpin	最前面を解除	위 고정 해제
Lock	锁定	Lock	固定	잠금
Unlock	解锁	Unlock	固定解除	잠금 해제
Off	关闭	Off	無効	꺼짐
Low	低	Low	低	낮음
Medium	中	Medium	中	중간
High	高	High	高	높음
Unknown	未知	Unknown	不明	알 수 없음
None	无	None	なし	없음
Memory	内存	Memory	メモリ	메모리
CPU + memory	CPU与内存	CPU + memory	CPUとメモリ	CPU 및 메모리
Possible	可能	Possible	可能性あり	가능성 있음
Not detected	未检测到	Not detected	未検出	감지 안 됨
Data unavailable	数据不可用	Data unavailable	データなし	데이터 없음
Comfortable	充裕	Comfortable	余裕あり	여유 있음
Elevated	偏高	Elevated	やや高い	다소 높음
waiting for next sample	等待下一次采样	waiting for next sample	次の計測待ち	다음 측정 대기
unavailable	不可用	unavailable	利用不可	사용 불가
unknown	未知	unknown	不明	알 수 없음
(partial)	（部分）	(partial)	（一部）	(일부)
partial	部分	partial	一部	일부
CODEX / CHATGPT PROCESS TREE	CODEX / CHATGPT 进程树	CODEX / CHATGPT PROCESS TREE	CODEX / CHATGPT プロセスツリー	CODEX / CHATGPT 프로세스 트리
Process list unavailable	进程列表不可用	Process list unavailable	プロセス一覧なし	프로세스 목록 없음
CPU share: unavailable	CPU占比：不可用	CPU share: unavailable	CPU比率: 利用不可	CPU 비율: 사용 불가
Working set: unavailable	内存工作集：不可用	Working set: unavailable	ワーキングセット: 利用不可	작업 집합: 사용 불가
CPU share: 0.0%	CPU占比：0.0%	CPU share: 0.0%	CPU比率: 0.0%	CPU 비율: 0.0%
Working set: 0.0 MB	内存工作集：0.0 MB	Working set: 0.0 MB	ワーキングセット: 0.0 MB	작업 집합: 0.0 MB
Roots:	根进程：	Roots:	ルート:	루트:
Tree:	进程树：	Tree:	ツリー:	트리:
process(es)	个进程	process(es)	プロセス	개 프로세스
CPU whole-machine share:	CPU整机占比：	CPU whole-machine share:	CPU全体比率:	CPU 전체 비율:
Working set:	内存工作集：	Working set:	ワーキングセット:	작업 집합:
Largest RAM process:	最大内存进程：	Largest RAM process:	最大メモリプロセス:	최대 메모리 프로세스:
Process I/O read:	进程读：	Process I/O read:	プロセス読込:	프로세스 읽기:
write:	写：	write:	書込:	쓰기:
Process I/O is not disk-only	进程读写不只包含磁盘	Process I/O is not disk-only	プロセスI/Oはディスク以外も含む	프로세스 I/O는 디스크 외 항목도 포함
SYSTEM CPU & PHYSICAL MEMORY	系统CPU与物理内存	SYSTEM CPU & PHYSICAL MEMORY	システムCPUと物理メモリ	시스템 CPU 및 물리 메모리
Physical:	物理内存：	Physical:	物理メモリ:	물리 메모리:
Available:	可用：	Available:	利用可能:	사용 가능:
Physical memory: unavailable	物理内存：不可用	Physical memory: unavailable	物理メモリ: 利用不可	물리 메모리: 사용 불가
Processes:	进程：	Processes:	プロセス:	프로세스:
WS readable:	内存可读取：	WS readable:	メモリ読取可能:	메모리 읽기 가능:
Process list: unavailable	进程列表：不可用	Process list: unavailable	プロセス一覧: 利用不可	프로세스 목록: 사용 불가
SYSTEM CPU	系统CPU	SYSTEM CPU	システムCPU	시스템 CPU
10-MINUTE TREND	10分钟趋势	10-MINUTE TREND	10分間の傾向	10분 추세
Waiting for the first unbiased sample	等待首个有效采样	Waiting for the first unbiased sample	最初の有効な計測待ち	첫 유효 측정 대기
Sampled	已采样	Sampled	計測済み	측정됨
Average	平均	Average	平均	평균
Peak	峰值	Peak	ピーク	최대
5 s samples	5秒采样	5 s samples	5秒間隔	5초 간격 측정
in-memory only	仅保留在内存	in-memory only	メモリ内のみ	메모리에만 보관
